date,sku,units_sold,promotion_flag
2024-12-18,JU-021,85,0
2024-12-19,JU-021,70,0
2024-12-20,JU-021,77,0
2024-12-21,JU-021,76,1
2024-12-22,JU-021,85,1
2024-12-23,JU-021,99,0
2024-12-24,JU-021,66,0
2024-12-25,JU-021,30,0
2024-12-26,JU-021,73,1
2024-12-27,JU-021,100,0
2024-12-28,JU-021,104,1
2024-12-29,JU-021,112,1
2024-12-30,JU-021,73,0
2024-12-31,JU-021,88,1
2024-12-18,MI-002,128,1
2024-12-19,MI-002,146,1
2024-12-20,MI-002,84,1
2024-12-21,MI-002,104,0
2024-12-22,MI-002,112,1
2024-12-23,MI-002,143,1
2024-12-24,MI-002,109,0
2024-12-25,MI-002,145,1
2024-12-26,MI-002,160,0
2024-12-27,MI-002,128,0
2024-12-28,MI-002,114,1
2024-12-29,MI-002,149,1
2024-12-30,MI-002,124,0
2024-12-31,MI-002,93,1
2024-12-18,MI-006,116,1
2024-12-19,MI-006,138,1
2024-12-20,MI-006,129,1
2024-12-21,MI-006,105,1
2024-12-22,MI-006,113,0
2024-12-23,MI-006,45,0
2024-12-24,MI-006,131,1
2024-12-25,MI-006,113,1
2024-12-26,MI-006,83,1
2024-12-27,MI-006,114,1
2024-12-28,MI-006,103,1
2024-12-29,MI-006,124,1
2024-12-30,MI-006,90,0
2024-12-31,MI-006,79,1
2024-12-18,MI-008,74,0
2024-12-19,MI-008,74,1
2024-12-20,MI-008,118,1
2024-12-21,MI-008,102,1
2024-12-22,MI-008,74,1
2024-12-23,MI-008,131,1
2024-12-24,MI-008,112,0
2024-12-25,MI-008,81,1
2024-12-26,MI-008,126,1
2024-12-27,MI-008,107,1
2024-12-28,MI-008,63,0
2024-12-29,MI-008,96,0
2024-12-30,MI-008,110,1
2024-12-31,MI-008,87,1
2024-12-18,MI-011,110,1
2024-12-19,MI-011,135,1
2024-12-20,MI-011,57,0
2024-12-21,MI-011,135,1
2024-12-22,MI-011,98,1
2024-12-23,MI-011,63,1
2024-12-24,MI-011,104,1
2024-12-25,MI-011,85,1
2024-12-26,MI-011,89,1
2024-12-27,MI-011,119,1
2024-12-28,MI-011,67,1
2024-12-29,MI-011,86,0
2024-12-30,MI-011,91,0
2024-12-31,MI-011,93,1
2024-12-18,MI-022,98,1
2024-12-19,MI-022,86,1
2024-12-20,MI-022,96,1
2024-12-21,MI-022,89,0
2024-12-22,MI-022,88,0
2024-12-23,MI-022,132,1
2024-12-24,MI-022,107,1
2024-12-25,MI-022,129,1
2024-12-26,MI-022,53,0
2024-12-27,MI-022,96,0
2024-12-28,MI-022,88,1
2024-12-29,MI-022,104,1
2024-12-30,MI-022,113,1
2024-12-31,MI-022,78,1
2024-12-18,MI-023,122,1
2024-12-19,MI-023,128,1
2024-12-20,MI-023,133,0
2024-12-21,MI-023,154,1
2024-12-22,MI-023,90,0
2024-12-23,MI-023,111,1
2024-12-24,MI-023,82,0
2024-12-25,MI-023,145,1
2024-12-26,MI-023,104,1
2024-12-27,MI-023,168,1
2024-12-28,MI-023,175,1
2024-12-29,MI-023,120,1
2024-12-30,MI-023,90,1
2024-12-31,MI-023,124,1
2024-12-18,MI-026,125,0
2024-12-19,MI-026,132,0
2024-12-20,MI-026,130,1
2024-12-21,MI-026,175,1
2024-12-22,MI-026,97,0
2024-12-23,MI-026,77,0
2024-12-24,MI-026,134,1
2024-12-25,MI-026,68,0
2024-12-26,MI-026,139,1
2024-12-27,MI-026,54,0
2024-12-28,MI-026,161,1
2024-12-29,MI-026,199,1
2024-12-30,MI-026,126,1
2024-12-31,MI-026,84,0
2024-12-18,RE-004,138,1
2024-12-19,RE-004,130,0
2024-12-20,RE-004,171,1
2024-12-21,RE-004,175,0
2024-12-22,RE-004,145,0
2024-12-23,RE-004,192,1
2024-12-24,RE-004,167,1
2024-12-25,RE-004,204,1
2024-12-26,RE-004,125,0
2024-12-27,RE-004,180,1
2024-12-28,RE-004,177,0
2024-12-29,RE-004,120,0
2024-12-30,RE-004,124,0
2024-12-31,RE-004,174,1
2024-12-18,RE-007,182,1
2024-12-19,RE-007,158,0
2024-12-20,RE-007,200,1
2024-12-21,RE-007,106,1
2024-12-22,RE-007,166,1
2024-12-23,RE-007,200,1
2024-12-24,RE-007,146,1
2024-12-25,RE-007,143,1
2024-12-26,RE-007,158,1
2024-12-27,RE-007,204,1
2024-12-28,RE-007,80,0
2024-12-29,RE-007,195,1
2024-12-30,RE-007,184,1
2024-12-31,RE-007,226,1
2024-12-18,RE-015,200,1
2024-12-19,RE-015,180,1
2024-12-20,RE-015,216,1
2024-12-21,RE-015,219,1
2024-12-22,RE-015,164,1
2024-12-23,RE-015,117,0
2024-12-24,RE-015,165,0
2024-12-25,RE-015,169,0
2024-12-26,RE-015,167,1
2024-12-27,RE-015,130,0
2024-12-28,RE-015,182,1
2024-12-29,RE-015,154,1
2024-12-30,RE-015,115,1
2024-12-31,RE-015,171,1
2024-12-18,RE-017,236,1
2024-12-19,RE-017,210,1
2024-12-20,RE-017,164,1
2024-12-21,RE-017,236,1
2024-12-22,RE-017,182,1
2024-12-23,RE-017,124,0
2024-12-24,RE-017,156,1
2024-12-25,RE-017,123,0
2024-12-26,RE-017,174,1
2024-12-27,RE-017,237,1
2024-12-28,RE-017,150,0
2024-12-29,RE-017,101,1
2024-12-30,RE-017,211,1
2024-12-31,RE-017,102,0
2024-12-18,RE-025,173,1
2024-12-19,RE-025,195,1
2024-12-20,RE-025,126,0
2024-12-21,RE-025,218,1
2024-12-22,RE-025,131,0
2024-12-23,RE-025,146,0
2024-12-24,RE-025,124,0
2024-12-25,RE-025,119,0
2024-12-26,RE-025,101,0
2024-12-27,RE-025,120,0
2024-12-28,RE-025,135,0
2024-12-29,RE-025,144,1
2024-12-30,RE-025,207,1
2024-12-31,RE-025,78,0
2024-12-18,SN-010,123,1
2024-12-19,SN-010,95,0
2024-12-20,SN-010,165,1
2024-12-21,SN-010,148,1
2024-12-22,SN-010,186,1
2024-12-23,SN-010,129,1
2024-12-24,SN-010,116,1
2024-12-25,SN-010,139,1
2024-12-26,SN-010,148,1
2024-12-27,SN-010,104,1
2024-12-28,SN-010,144,1
2024-12-29,SN-010,135,1
2024-12-30,SN-010,147,1
2024-12-31,SN-010,49,0
2024-12-18,SN-013,147,1
2024-12-19,SN-013,109,1
2024-12-20,SN-013,102,1
2024-12-21,SN-013,121,1
2024-12-22,SN-013,112,0
2024-12-23,SN-013,93,1
2024-12-24,SN-013,123,1
2024-12-25,SN-013,83,1
2024-12-26,SN-013,125,1
2024-12-27,SN-013,81,1
2024-12-28,SN-013,97,1
2024-12-29,SN-013,125,1
2024-12-30,SN-013,95,0
2024-12-31,SN-013,72,0
2024-12-18,SN-019,99,1
2024-12-19,SN-019,169,1
2024-12-20,SN-019,107,0
2024-12-21,SN-019,119,0
2024-12-22,SN-019,146,1
2024-12-23,SN-019,130,1
2024-12-24,SN-019,175,1
2024-12-25,SN-019,96,0
2024-12-26,SN-019,137,0
2024-12-27,SN-019,83,1
2024-12-28,SN-019,105,0
2024-12-29,SN-019,135,1
2024-12-30,SN-019,153,0
2024-12-31,SN-019,117,1
