sku,category,batch_id,batch_inventory,remaining_shelf_life_days,expected_demand_until_expiry,allocated_demand,potential_surplus,cumulative_inventory,cumulative_demand,sku_potential_surplus,cumulative_surplus,previous_cumulative_surplus,forecast_daily_demand,inventory_coverage_days,excess_coverage_days,waste_exposure_ratio,scenario_coverage_factor,scenario_inventory,expected_sales_before_expiry,surplus_percentage,waste_risk,recommended_action,priority_score
JU-021,Juice,A,63,10,931.5799999999999,63.0,0.0,63,931.5799999999999,0,0.0,0.0,93.15799999999999,0.6762704222933082,0.0,0.0,1.0494481426168352,98,931.5799999999999,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
JU-021,Juice,B,95,23,2249.69,95.0,0.0,158,2249.69,0,0.0,0.0,97.81260869565217,0.971244927078842,0.0,0.0,1.0743760073868034,105,2249.69,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-006,Milk,A,47,2,230.69,47.0,0.0,47,230.69,0,0.0,0.0,115.345,0.4074732324764836,0.0,0.0,1.4783927301736863,171,230.69,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-006,Milk,B,70,6,663.87,70.0,0.0,117,663.87,0,0.0,0.0,110.645,0.6326539834606173,0.0,0.0,1.2554624630685702,139,663.87,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-011,Milk,A,63,2,217.64,63.0,0.0,63,217.64,0,0.0,0.0,108.82,0.5789376952766035,0.0,0.0,0.7872223685309239,86,217.64,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-011,Milk,B,95,6,655.53,95.0,0.0,158,655.53,0,0.0,0.0,109.255,0.8695254221774747,0.0,0.0,1.1798886444834544,129,655.53,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-022,Milk,A,62,2,222.46,62.0,0.0,62,222.46,0,0.0,0.0,111.23,0.5574035781713567,0.0,0.0,0.6697003346018393,74,222.46,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-022,Milk,B,92,7,742.64,92.0,0.0,154,742.64,0,0.0,0.0,106.09142857142857,0.8671765593019498,0.0,0.0,1.299454657371025,138,742.64,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-023,Milk,A,55,2,270.15999999999997,55.0,0.0,55,270.15999999999997,0,0.0,0.0,135.07999999999998,0.4071661237785017,0.0,0.0,1.3213380140918507,178,270.15999999999997,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-023,Milk,B,83,6,832.6299999999999,83.0,0.0,138,832.6299999999999,0,0.0,0.0,138.77166666666665,0.5981048004515812,0.0,0.0,1.559774516421548,216,832.6299999999999,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-026,Milk,A,68,2,212.18,68.0,0.0,68,212.18,0,0.0,0.0,106.09,0.640965218210953,0.0,0.0,0.6247013931549629,66,212.18,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
MI-026,Milk,B,102,7,756.8299999999999,102.0,0.0,170,756.8299999999999,0,0.0,0.0,108.11857142857141,0.9434086915159284,0.0,0.0,1.9230757730556556,208,756.8299999999999,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
RE-004,ReadyMeal,A,55,1,164.86,55.0,99.13999999999999,55,164.86,0,0.0,0.0,164.86,0.3336164017954628,0.0,0.0,1.5989311689605064,264,164.86,37.5530303030303,Critical,Immediate markdown/promotion; prioritize FEFO sale; consider redistribution or donation if surplus remains.,62.53181818181818
RE-004,ReadyMeal,B,82,4,699.96,82.0,0.0,137,699.96,0,0.0,0.0,174.99,0.4685982056117492,0.0,0.0,2.1816417112407245,382,699.96,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
RE-007,ReadyMeal,A,50,2,388.08000000000004,50.0,0.0,50,388.08000000000004,0,0.0,0.0,194.04000000000002,0.25767882910740053,0.0,0.0,0.8181899606485208,159,388.08000000000004,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
RE-007,ReadyMeal,B,74,4,740.5000000000001,74.0,0.0,124,740.5000000000001,0,0.0,0.0,185.12500000000003,0.3997299122214719,0.0,0.0,1.0782019541478414,200,740.5000000000001,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
RE-015,ReadyMeal,A,43,1,186.73,43.0,0.0,43,186.73,0,0.0,0.0,186.73,0.2302790124779093,0.0,0.0,0.9650906915514452,180,186.73,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
RE-015,ReadyMeal,B,64,4,722.68,64.0,0.0,107,722.68,0,0.0,0.0,180.67,0.3542370066972934,0.0,0.0,1.9416459998367679,351,722.68,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
RE-017,ReadyMeal,A,74,1,142.2,74.0,16.80000000000001,74,142.2,0,0.0,0.0,142.2,0.5203938115330521,0.0,0.0,1.118334022370539,159,142.2,10.566037735849063,Low Risk,Monitor inventory and forecast; maintain FEFO handling.,46.339622641509436
RE-017,ReadyMeal,B,111,5,642.62,111.0,0.0,185,642.62,0,0.0,0.0,128.524,0.8636519249323084,0.0,0.0,1.8206100352573824,234,642.62,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
RE-025,ReadyMeal,A,42,2,238.31,42.0,0.0,42,238.31,0,0.0,0.0,119.155,0.3524820611808149,0.0,0.0,1.3342234736668555,159,238.31,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
