sku,total_inventory,potential_surplus,shortest_shelf_life_days,highest_priority_score,surplus_percentage,waste_risk
RE-004,646,99.13999999999999,1,62.53181818181818,15.34674922600619,Critical
RE-017,393,16.80000000000001,1,46.339622641509436,4.274809160305346,Low Risk
JU-021,203,0.0,10,0.0,0.0,No Risk
MI-006,310,0.0,2,0.0,0.0,No Risk
MI-011,215,0.0,2,0.0,0.0,No Risk
MI-022,212,0.0,2,0.0,0.0,No Risk
MI-023,394,0.0,2,0.0,0.0,No Risk
MI-026,274,0.0,2,0.0,0.0,No Risk
RE-007,359,0.0,2,0.0,0.0,No Risk
RE-015,531,0.0,1,0.0,0.0,No Risk
RE-025,268,0.0,2,0.0,0.0,No Risk
SN-010,171,0.0,24,0.0,0.0,No Risk
SN-013,246,0.0,23,0.0,0.0,No Risk
SN-019,263,0.0,20,0.0,0.0,No Risk
SN-027,311,0.0,20,0.0,0.0,No Risk
SN-028,282,0.0,18,0.0,0.0,No Risk
SN-030,325,0.0,20,0.0,0.0,No Risk
YO-001,511,0.0,5,0.0,0.0,No Risk
YO-003,240,0.0,6,0.0,0.0,No Risk
YO-005,404,0.0,4,0.0,0.0,No Risk
YO-009,322,0.0,4,0.0,0.0,No Risk
YO-012,167,0.0,5,0.0,0.0,No Risk
YO-014,227,0.0,4,0.0,0.0,No Risk
YO-016,374,0.0,4,0.0,0.0,No Risk
YO-018,327,0.0,5,0.0,0.0,No Risk
YO-020,501,0.0,4,0.0,0.0,No Risk
YO-024,280,0.0,5,0.0,0.0,No Risk
YO-029,297,0.0,4,0.0,0.0,No Risk
